Key,English,Arabic,Chinese,Czech,Danish,Dutch,Finnish,French,German,Greek,Hebrew,Hungarian,Indonesian,Italian,Hindi,Japanese,Korean,Norwegian,Polish,Portuguese,Russian,Swedish,Spanish,Thai,Turkish,Ukrainian,Vietnamese
CC.CharacterDesigner,Character Designer,مصمم الشخصيات,角色设计师,Návrhář postav,Karakterdesigner,Karakterontwerper,Hahmon suunnittelija,Créateur de personnages,Charakterdesigner,Σχεδιαστής χαρακτήρων,מעצב דמויות,Karaktertervező,Desainer Karakter,Disegnatore di personaggi,चरित्र डिजाइनर,キャラクターデザイナー,캐릭터 디자이너,Karakterdesigner,Projektant postaci,Designer de personagens,Дизайнер персонажей,Karaktärsdesigner,Diseñador de personajes,นักออกแบบตัวละคร,Karakter Tasarımcısı,Дизайнер персонажів,Nhà thiết kế nhân vật
CC.Category,Category,فئة,类别,Kategorie,Kategori,Categorie,Kategoria,Catégorie,Kategorie,Κατηγορία,קטגוריה,Kategória,Kategori,Categoria,वर्ग,カテゴリー,범주,Kategori,Kategoria,Categoria,Категория,Kategori,Categoría,หมวดหมู่,Kategori,Категорія,Loại
CC.Class,Class,فصل,班级,Třída,klasse,Klas,Luokka,Classe,Klasse,Τάξη,מעמד,Osztály,Kelas,Classe,कक्षा,クラス,수업,Klasse,Klasa,Aula,Сорт,Klass,Clase,ระดับ,Sınıf,Клас,Lớp học
CC.Locked,Locked,مقفل,锁定,Zamčeno,Låst,Op slot,Lukittu,Fermé à clé,Beenden,Κλειδωμένο,נָעוּל,Zárt,Terkunci,Bloccato,बंद,ロックされています,잠김,Låst,Zablokowany,Bloqueado,Заблокировано,Låst,bloqueado,ล็อคแล้ว,Kilitli,Заблоковано,Đã khóa
CC.Unlocked,Unlocked,مفتوحة,解锁,Odemčený,Ulåst,Ontgrendeld,Avattu,Débloqué,Entsperrt,Ακλείδωτος,לא נעול,Feloldva,Tidak terkunci,Sbloccato,अनलॉक किया,ロック解除済み,잠금 해제됨,Ulåst,Odblokowany,Desbloqueado,Разблокировано,Olåst,desbloqueado,ปลดล็อคแล้ว,Kilitli değil,Розблоковано,Đã mở khóa
CC.Dropdown,Option,خيار,选项,Volba,Mulighed,Keuze,Vaihtoehto,Option,Möglichkeit,Επιλογή,אוֹפְּצִיָה,választási lehetőség,Pilihan,Opzione,विकल्प,オプション,옵션,Alternativ,Opcja,Opção,Вариант,Alternativ,Opción,ตัวเลือก,Seçenek,Варіант,Lựa chọn
CC.Presets,Preset Panel,لوحة محددة مسبقا,预设面板,Přednastavený panel,Forudindstillet panel,Vooraf ingesteld paneel,Esiasetuspaneeli,Panneau de préréglage,Voreinstellungsfeld,Προκαθορισμένος πίνακας,פאנל מוגדר מראש,Előre beállított panel,Panel Prasetel,Pannello preimpostato,प्रीसेट पैनल,プリセットパネル,프리셋 패널,Forhåndsinnstilt panel,Wstępnie ustawiony panel,Painel predefinido,Панель предустановок,Förinställd panel,Panel preestablecido,แผงที่ตั้งไว้ล่วงหน้า,Ön Ayar Paneli,Панель попереднього налаштування,Bảng cài sẵn
CC.Variation,Variation,تفاوت,变化,Variace,Variation,Variatie,Variaatio,Variation,Variation,Παραλλαγή,וָרִיאַצִיָה,Variáció,Variasi,Variazione,उतार-चढ़ाव,変化,변화,Variasjon,Zmiana,Variação,Вариация,Variation,Variación,การเปลี่ยนแปลง,varyasyon,Варіація,Biến thể
CC.SaveVariation,Save Variation,حفظ الاختلاف,保存变化,Uložit variantu,Gem variation,Variatie opslaan,Tallenna muunnelma,Enregistrer la variante,Variante speichern,Αποθήκευση παραλλαγής,שמור וריאציה,Változat mentése,Simpan Variasi,Salva variazione,विविधता सहेजें,バリエーションの保存,변형 저장,Lagre variant,Zapisz odmianę,Salvar variação,Сохранить вариант,Spara variation,Guardar variación,บันทึกรูปแบบ,Varyasyonu Kaydet,Зберегти варіацію,Lưu biến thể
CC.Textures,Textures,القوام,纹理,Textury,Teksturer,Texturen,Tekstuurit,Textures,Texturen,Υφές,טקסטורות,Textúrák,Tekstur,Trame,बनावट,テクスチャ,텍스처,Teksturer,Tekstury,Texturas,Текстуры,Texturer,Texturas,พื้นผิว,Dokular,Текстури,Kết cấu
CC.Materials,Materials,مواد,材料,Materiály,Materialer,Materialen,Materiaalit,Matériaux,Materialien,Υλικά,חומרים,Anyagok,Bahan,Materiali,सामग्री,材料,재료,Materialer,Materiały,Materiais,Материалы,Material,Materiales,วัสดุ,Malzemeler,Матеріали,Nguyên vật liệu
CC.MaterialProperties,Material Properties,خصائص المواد,材料特性,Vlastnosti materiálu,Materialeegenskaber,Materiaaleigenschappen,Materiaalin ominaisuudet,Propriétés matérielles,Materialeigenschaften,Ιδιότητες υλικού,מאפיינים חומריים,Anyagtulajdonságok,Sifat Bahan,Proprietà dei materiali,भौतिक विशेषताएं,材料特性,재료 특성,Materialegenskaper,Właściwości materiału,Propriedades dos materiais,Свойства материала,Materialegenskaper,Propiedades materiales,คุณสมบัติของวัสดุ,Malzeme özellikleri,Властивості матеріалу,Thuộc tính vật liệu
CC.SavePanel,Save Panel,حفظ اللوحة,保存面板,Uložit panel,Gem panel,Paneel opslaan,Tallenna paneeli,Enregistrer le panneau,Panel speichern,Αποθήκευση πίνακα,שמור לוח,Panel mentése,Simpan Panel,Salva pannello,पैनल सहेजें,保存パネル,패널 저장,Lagre panel,Zapisz panel,Salvar painel,Панель сохранения,Spara panel,Guardar panel,บันทึกแผง,Paneli Kaydet,Зберегти панель,Lưu bảng điều khiển
CC.SaveName,Save Name,حفظ الاسم,保存名称,Uložit jméno,Gem navn,Naam opslaan,Tallenna nimi,Enregistrer le nom,Namen speichern,Αποθήκευση ονόματος,שמור שם,Név mentése,Simpan Nama,Salva nome,नाम सहेजें,名前を保存,이름 저장,Lagre navn,Zapisz nazwę,Salvar nome,Сохранить имя,Spara namn,Guardar nombre,บันทึกชื่อ,Adı Kaydet,Зберегти назву,Lưu tên
CC.SavePreset,Save Preset,حفظ الإعداد المسبق,保存预设,Uložit předvolbu,Gem forudindstilling,Voorinstelling opslaan,Tallenna esiasetus,Enregistrer le préréglage,Voreinstellung speichern,Αποθήκευση προεπιλογής,שמור הגדרה מראש,Előbeállítás mentése,Simpan Prasetel,Salva preimpostazione,प्रीसेट सहेजें,プリセットの保存,사전 설정 저장,Lagre forhåndsinnstilling,Zapisz ustawienie wstępne,Salvar predefinição,Сохранить предустановку,Spara förinställning,Guardar preestablecido,บันทึกค่าที่ตั้งล่วงหน้า,Ön Ayarı Kaydet,Зберегти попередні налаштування,Lưu cài đặt trước
CC.ShareDiscordApp,Share on Discord App,شارك على تطبيق Discord,在 Discord 应用程序上分享,Sdílejte v aplikaci Discord,Del på Discord-appen,Deel op de Discord-app,Jaa Discord-sovelluksessa,Partager sur l'application Discord,Auf der Discord-App teilen,Κοινή χρήση στην εφαρμογή Discord,שתף באפליקציית Discord,Oszd meg a Discord alkalmazásban,Bagikan di Aplikasi Discord,Condividi sull'app Discord,डिस्कोर्ड ऐप पर साझा करें,Discordアプリで共有する,Discord 앱에서 공유,Del på Discord-appen,Udostępnij w aplikacji Discord,Compartilhar no aplicativo Discord,Поделиться в приложении Discord,Dela på Discord-appen,Compartir en la aplicación Discord,แชร์บนแอป Discord,Discord Uygulamasında Paylaş,Поділитися в додатку Discord,Chia sẻ trên ứng dụng Discord
CC.head,Head,رأس,头,Hlava,Hoved,Hoofd,Pää,Tête,Kopf,Κεφάλι,רֹאשׁ,Fej,Kepala,Testa,सिर,頭,머리,Hode,Głowa,Cabeça,Голова,Huvud,Cabeza,ศีรษะ,KAFA,Голова,Cái đầu
CC.hat,Hat,قبعة,帽子,Čepice,Hat,Hoed,Hattu,Chapeau,Hut,Καπέλο,כּוֹבַע,Kalap,Topi,Cappello,टोपी,帽子,모자,Hatt,Kapelusz,Chapéu,Шапка,Hatt,Sombrero,หมวก,Şapka,Капелюх,Mũ
CC.hat_access,Hat Accessories,إكسسوارات القبعة,帽子配件,Příslušenství pro klobouky,Hat tilbehør,Accessoires voor hoeden,Hatun tarvikkeet,Accessoires pour chapeaux,Hutzubehör,Αξεσουάρ καπέλων,אביזרים לכובע,Kalap kiegészítők,Aksesoris Topi,Accessori per cappelli,टोपी का सामान,帽子アクセサリー,모자 액세서리,Hatt tilbehør,Akcesoria do kapeluszy,Acessórios para chapéus,Аксессуары для шляп,Hatttillbehör,Accesorios para sombreros,เครื่องประดับหมวก,Şapka Aksesuarları,Аксесуари для капелюхів,Phụ kiện mũ
CC.hood,Hood,كَبُّوت,兜帽,Kapuce,Hætte,Kap,Huppu,Capot,Haube,κουκούλα,בַּרדָס,kapucni,Tudung,Cappuccio,कनटोप,フード,후드,hette,Kaptur,Capuz,Капюшон,Huva,Capucha,เครื่องดูดควัน,Kapüşon,Капюшон,Mui xe
CC.mask,Mask,قناع,面具,Maska,Maske,Masker,Naamio,Masque,Maske,Μάσκα,מסכה,Maszk,Masker,Maschera,नकाब,マスク,마스크,Maske,Maska,mascarar,Маска,Mask,Mascarilla,หน้ากาก,Maske,Маска,Mặt nạ
